"Date","Value","Macrobond_Code"
2025-02-01,51.2,"markit_3y_pmiemmmanpm"
2025-03-01,51.3,"markit_3y_pmiemmmanpm"
2025-04-01,50.5,"markit_3y_pmiemmmanpm"
2025-05-01,49.2,"markit_3y_pmiemmmanpm"
2025-06-01,50.4,"markit_3y_pmiemmmanpm"
2025-07-01,50.1,"markit_3y_pmiemmmanpm"
2025-08-01,50.9,"markit_3y_pmiemmmanpm"
2025-09-01,51.2,"markit_3y_pmiemmmanpm"
2025-10-01,51.1,"markit_3y_pmiemmmanpm"
2022-11-01,49.4,"markit_3y_pmicnmanpm"
2022-12-01,49,"markit_3y_pmicnmanpm"
2023-01-01,49.2,"markit_3y_pmicnmanpm"
2023-02-01,51.6,"markit_3y_pmicnmanpm"
2023-03-01,50,"markit_3y_pmicnmanpm"
2023-04-01,49.5,"markit_3y_pmicnmanpm"
2023-05-01,50.9,"markit_3y_pmicnmanpm"
2023-06-01,50.5,"markit_3y_pmicnmanpm"
2023-07-01,49.2,"markit_3y_pmicnmanpm"
2023-08-01,51,"markit_3y_pmicnmanpm"
2023-09-01,50.6,"markit_3y_pmicnmanpm"
2023-10-01,49.5,"markit_3y_pmicnmanpm"
2023-11-01,50.7,"markit_3y_pmicnmanpm"
2023-12-01,50.8,"markit_3y_pmicnmanpm"
2024-01-01,50.8,"markit_3y_pmicnmanpm"
2024-02-01,50.9,"markit_3y_pmicnmanpm"
2024-03-01,51.1,"markit_3y_pmicnmanpm"
2024-04-01,51.4,"markit_3y_pmicnmanpm"
2024-05-01,51.7,"markit_3y_pmicnmanpm"
2024-06-01,51.8,"markit_3y_pmicnmanpm"
2024-07-01,49.8,"markit_3y_pmicnmanpm"
2024-08-01,50.4,"markit_3y_pmicnmanpm"
2024-09-01,49.3,"markit_3y_pmicnmanpm"
2024-10-01,50.3,"markit_3y_pmicnmanpm"
2024-11-01,51.5,"markit_3y_pmicnmanpm"
2024-12-01,50.5,"markit_3y_pmicnmanpm"
2025-01-01,50.1,"markit_3y_pmicnmanpm"
2025-02-01,50.8,"markit_3y_pmicnmanpm"
2025-03-01,51.2,"markit_3y_pmicnmanpm"
2025-04-01,50.4,"markit_3y_pmicnmanpm"
2025-05-01,48.3,"markit_3y_pmicnmanpm"
2025-06-01,50.4,"markit_3y_pmicnmanpm"
2025-07-01,49.5,"markit_3y_pmicnmanpm"
2025-08-01,50.5,"markit_3y_pmicnmanpm"
2025-09-01,51.2,"markit_3y_pmicnmanpm"
2025-10-01,50.6,"markit_3y_pmicnmanpm"
2022-11-01,49,"markit_3y_pmikrmanpm"
2022-12-01,48.2,"markit_3y_pmikrmanpm"
2023-01-01,48.5,"markit_3y_pmikrmanpm"
2023-02-01,48.5,"markit_3y_pmikrmanpm"
2023-03-01,47.6,"markit_3y_pmikrmanpm"
2023-04-01,48.1,"markit_3y_pmikrmanpm"
2023-05-01,48.4,"markit_3y_pmikrmanpm"
2023-06-01,47.8,"markit_3y_pmikrmanpm"
2023-07-01,49.4,"markit_3y_pmikrmanpm"
2023-08-01,48.9,"markit_3y_pmikrmanpm"
2023-09-01,49.9,"markit_3y_pmikrmanpm"
2023-10-01,49.8,"markit_3y_pmikrmanpm"
2023-11-01,50,"markit_3y_pmikrmanpm"
2023-12-01,49.9,"markit_3y_pmikrmanpm"
2024-01-01,51.2,"markit_3y_pmikrmanpm"
2024-02-01,50.7,"markit_3y_pmikrmanpm"
2024-03-01,49.8,"markit_3y_pmikrmanpm"
2024-04-01,49.4,"markit_3y_pmikrmanpm"
2024-05-01,51.6,"markit_3y_pmikrmanpm"
2024-06-01,52,"markit_3y_pmikrmanpm"
2024-07-01,51.4,"markit_3y_pmikrmanpm"
2024-08-01,51.9,"markit_3y_pmikrmanpm"
2024-09-01,48.3,"markit_3y_pmikrmanpm"
2024-10-01,48.3,"markit_3y_pmikrmanpm"
2024-11-01,50.6,"markit_3y_pmikrmanpm"
2024-12-01,49,"markit_3y_pmikrmanpm"
2025-01-01,50.3,"markit_3y_pmikrmanpm"
2025-02-01,49.9,"markit_3y_pmikrmanpm"
2025-03-01,49.1,"markit_3y_pmikrmanpm"
2025-04-01,47.5,"markit_3y_pmikrmanpm"
2025-05-01,47.7,"markit_3y_pmikrmanpm"
2025-06-01,48.7,"markit_3y_pmikrmanpm"
