date,description,count,Macrobond_Code
2019-04-25,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),172248,CAFSTA@TRANSPRT
2019-04-26,Canada: Airport Passengers Screened: Eight Largest Airports (Number),157397,CA8STA@TRANSPRT
2019-04-26,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),175174,CAFSTA@TRANSPRT
2019-04-29,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158030,CA8STA@TRANSPRT
2019-04-29,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),175370,CAFSTA@TRANSPRT
2019-04-30,Canada: Airport Passengers Screened: Eight Largest Airports (Number),145094,CA8STA@TRANSPRT
2019-04-30,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),161166,CAFSTA@TRANSPRT
2019-05-01,Canada: Airport Passengers Screened: Eight Largest Airports (Number),153854,CA8STA@TRANSPRT
2019-05-01,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),170334,CAFSTA@TRANSPRT
2019-05-02,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158826,CA8STA@TRANSPRT
2019-05-02,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),176476,CAFSTA@TRANSPRT
2019-05-03,Canada: Airport Passengers Screened: Eight Largest Airports (Number),164026,CA8STA@TRANSPRT
2019-05-03,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),181285,CAFSTA@TRANSPRT
2019-05-06,Canada: Airport Passengers Screened: Eight Largest Airports (Number),149109,CA8STA@TRANSPRT
2019-05-06,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),165356,CAFSTA@TRANSPRT
2019-05-07,Canada: Airport Passengers Screened: Eight Largest Airports (Number),132887,CA8STA@TRANSPRT
2019-05-07,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),147695,CAFSTA@TRANSPRT
2019-05-08,Canada: Airport Passengers Screened: Eight Largest Airports (Number),141479,CA8STA@TRANSPRT
2019-05-08,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),157257,CAFSTA@TRANSPRT
2019-05-09,Canada: Airport Passengers Screened: Eight Largest Airports (Number),147650,CA8STA@TRANSPRT
2019-05-09,Canada: Airport Passengers Screened: Seventeen Largest Airports (Number),164665,CAFSTA@TRANSPRT
2019-05-10,Canada: Airport Passengers Screened: Eight Largest Airports (Number),158801,CA8STA@TRANSPRT
